question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
What type of food is served by a restaurant or restaurant chain or national food culture that includes salume?,"[""Italian cooking"", ""Italian food"", ""Italian"", ""Italian cuisine"", ""cuisine of Italy""]",Q3194888,P2012,Q192786,Italian,Q3194888 P2012 Q192786,Q3194888 P2012,salume,cuisine,Italian cuisine
What type of film is Ma femme s'appelle reviens?,"[""comedy film"", ""comedy movie""]",Q3273526,P136,Q157443,comedy film,Q3273526 P136 Q157443,Q3273526 P136,Ma femme s'appelle reviens,genre,comedy film
What sport does Marin Cavar participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q106770014,P641,Q2736,footballer,Q106770014 P641 Q2736,Q106770014 P641,Marin Cavar,sport,association football
What language is widely used in the Roman Catholic Diocese of Taiohae o Tefenuaenata?,"[""fr"", ""French language"", ""fra"", ""French"", ""(fr)""]",Q877037,P2936,Q150,French,Q877037 P2936 Q150,Q877037 P2936,Roman Catholic Diocese of Taiohae o Tefenuaenata,language used,French
What sport did WEC 11 participate in?,"[""MMA"", ""mixed martial arts"", ""Mixed Martial Arts""]",Q7948756,P641,Q114466,mixed martial arts,Q7948756 P641 Q114466,Q7948756 P641,WEC 11,sport,mixed martial arts
Who was the mother of Bonifacio Fadrique d'Aragona?,"[""Maria of Verona"", ""Marulla da Verona"", ""Marulla of Verona""]",Q16179392,P25,Q6003100,Marulla of Verona,Q16179392 P25 Q6003100,Q16179392 P25,Bonifacio Fadrique d'Aragona,mother,Marulla of Verona
What was Derek Ingram Hill's religion?,"[""Anglican"", ""Anglicanism, Anglican Church"", ""Anglicanism""]",Q5262072,P140,Q6423963,Anglican,Q5262072 P140 Q6423963,Q5262072 P140,Derek Ingram Hill,religion,Anglicanism
Who was the doctoral advisor of the English mathematician Alan Baker?,"[""Harold Davenport"", ""H. Davenport"", ""H.Davenport""]",Q310769,P184,Q1385023,H.Davenport,Q310769 P184 Q1385023,Q310769 P184,Alan Baker,doctoral advisor,Harold Davenport
What sport does Zoran Milovac participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q8074371,P641,Q2736,footballer,Q8074371 P641 Q2736,Q8074371 P641,Zoran Milovac,sport,association football
What administrative division is Helvecia the capital of?,"[""Departamento de Garay"", ""Garay Department""]",Q2804220,P1376,Q652955,Garay Department,Q2804220 P1376 Q652955,Q2804220 P1376,Helvecia,capital of,Garay Department
What medical condition did Benjamin Munson have?,"[""Alzheimer dementia"", ""Alzheimer's disease"", ""Alzheimers disease"", ""Alzheimer disease"", ""Alzheimer disease, familial"", ""Alzheimer's Disease"", ""Alzheimer's dementia"", ""Alzheimer"", ""AD"", ""Alzheimers"", ""Alzheimers dementia""]",Q4889048,P1050,Q11081,Alzheimer's disease,Q4889048 P1050 Q11081,Q4889048 P1050,Benjamin Munson,medical condition,Alzheimer's disease
"Who is a notable relative of Eben Alexander, the American neurosurgeon?","[""Eben Alexander"", ""Eben Alexander (educator)""]",Q115900,P1038,Q5331592,Eben Alexander (educator),Q115900 P1038 Q5331592,Q115900 P1038,Eben Alexander,relative,Eben Alexander
What country is Den-Talaa located in?,"[""kg"", ""KGZ"", ""Kyrgyz Republic"", ""Kirgizia"", ""\ud83c\uddf0\ud83c\uddec"", ""Kyrgyzstan""]",Q20625560,P17,Q813,Kyrgyzstan,Q20625560 P17 Q813,Q20625560 P17,Den-Talaa,country,Kyrgyzstan
Where is the municipality of Onsdorf located?,"[""GER"", ""Deutschland"", ""Bundesrepublik Deutschland"", ""Germany"", ""DE"", ""de"", ""FRG"", ""BR Deutschland"", ""Federal Republic of Germany"", ""BRD""]",Q656764,P17,Q183,Germany,Q656764 P17 Q183,Q656764 P17,Onsdorf,country,Germany
What was the religion of Judes Bicaba?,"[""Roman Apostolic Catholic Church"", ""Roman Catholic"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q1710959,P140,Q9592,Roman Catholic,Q1710959 P140 Q9592,Q1710959 P140,Judes Bicaba,religion,Catholic Church
What country is Mala Bijhany located in?,"[""Ukraina"", ""UKR"", ""Ukrainia"", ""\ud83c\uddfa\ud83c\udde6"", ""Ukr."", ""UA"", ""ua"", ""Ukraine""]",Q839156,P17,Q212,Ukraine,Q839156 P17 Q212,Q839156 P17,Mala Bijhany,country,Ukraine
Who is the father of Ludwig Döderlein?,"[""Johann Christoph D\u00f6derlein""]",Q90236,P22,Q110439,Johann Christoph Döderlein,Q90236 P22 Q110439,Q90236 P22,Ludwig Döderlein,father,Johann Christoph Döderlein
Who was the father of Henry II of Nassau-Siegen?,"[""Engelbert I"", ""Engelbert I of Nassau-Breda"", ""Engelbert I of Nassau-Siegen"", ""Engelbert I of Nassau-Dillenburg""]",Q2889821,P22,Q75479,Engelbert I,Q2889821 P22 Q75479,Q2889821 P22,Henry II of Nassau-Siegen,father,Engelbert I of Nassau-Breda
What industry is El-Mokawloon El-Arab in?,"[""construction"", ""building"", ""building construction"", ""construction work""]",Q4783172,P452,Q385378,construction,Q4783172 P452 Q385378,Q4783172 P452,El-Mokawloon El-Arab,industry,construction
What is the color of Almost a Wild Man?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q17144734,P462,Q838368,black and white film,Q17144734 P462 Q838368,Q17144734 P462,Almost a Wild Man,color,black and white
What country is Donnery located in?,"[""France"", ""fr"", ""R\u00e9publique fran\u00e7aise"", ""FRA"", ""Republic of France"", ""FR"", ""La France"", ""the Hexagon"", ""French Republic""]",Q1167518,P17,Q142,France,Q1167518 P17 Q142,Q1167518 P17,Donnery,country,France
What country is As Sabrah District located in?,"[""Republic of Yemen"", ""Yemen"", ""Rep. Yemen"", ""ye"", ""\ud83c\uddfe\ud83c\uddea"", ""YEM""]",Q4117612,P17,Q805,Yemen,Q4117612 P17 Q805,Q4117612 P17,As Sabrah District,country,Yemen
Who produced RoachTrip?,"[""EyeSteelFilm"", ""EyeSteel Productions"", ""Eye Steel Film"", ""ESF""]",Q7339228,P162,Q5422590,EyeSteelFilm,Q7339228 P162 Q5422590,Q7339228 P162,RoachTrip,producer,EyeSteelFilm
Who is the mother of Aliona Bolsova Zadoinov?,"[""Olga Bol\u0219ova"", ""Olga Bolshova""]",Q19819866,P25,Q2811486,Olga Bolșova,Q19819866 P25 Q2811486,Q19819866 P25,Aliona Bolsova Zadoinov,mother,Olga Bolșova
What is the color associated with a specific type of hair?,"[""red color"", ""red""]",Q152357,P462,Q3142,red,Q152357 P462 Q3142,Q152357 P462,red hair,color,red
What educational institution did Johannes Malderus attend?,"[""University of Leuven"", ""University of Douai"", ""Old University of Leuven"", ""Studium Generale Lovaniense""]",Q2690643,P69,Q693380,University of Leuven,Q2690643 P69 Q693380,Q2690643 P69,Johannes Malderus,educated at,Old University of Leuven
What is the religion of Ante Ivas?,"[""Roman Apostolic Catholic Church"", ""Roman Catholic"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q353960,P140,Q9592,Roman Catholic,Q353960 P140 Q9592,Q353960 P140,Ante Ivas,religion,Catholic Church
What industry does Thinking Pictures specialize in?,"[""software"", ""software industry"", ""computer software industry""]",Q7784595,P452,Q880371,software,Q7784595 P452 Q880371,Q7784595 P452,Thinking Pictures,industry,software industry
What was Rafael Martínez Sainz's religion?,"[""Roman Apostolic Catholic Church"", ""Roman Catholic"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q2126975,P140,Q9592,Roman Catholic,Q2126975 P140 Q9592,Q2126975 P140,Rafael Martínez Sainz,religion,Catholic Church
Who was Lei Yangong's father?,"[""Lei Man""]",Q6519036,P22,Q6519019,Lei Man,Q6519036 P22 Q6519019,Q6519036 P22,Lei Yangong,father,Lei Man
What specific industry is Alte Taverne in?,"[""restaurants"", ""eating house"", ""restaurant"", ""eateries"", ""eatery"", ""eating houses""]",Q29075797,P452,Q11707,restaurant,Q29075797 P452 Q11707,Q29075797 P452,Alte Taverne,industry,restaurant
What is the architectural style of the Abel E. Eaton House?,"[""Second Empire architecture"", ""Napoleon III architecture"", ""French Second Empire"", ""Napoleon III style"", ""Second Empire style""]",Q4666554,P149,Q174419,French Second Empire,Q4666554 P149 Q174419,Q4666554 P149,Abel E. Eaton House,architectural style,Second Empire style
What country is Prinsuéjols located in?,"[""France"", ""fr"", ""R\u00e9publique fran\u00e7aise"", ""FRA"", ""Republic of France"", ""FR"", ""La France"", ""the Hexagon"", ""French Republic""]",Q718521,P17,Q142,France,Q718521 P17 Q142,Q718521 P17,Prinsuéjols,country,France
What country is Khosrovan located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5832628,P17,Q794,Iran,Q5832628 P17 Q794,Q5832628 P17,Khosrovan,country,Iran
What is the genre of the 2000-2001 Mexican show Abrázame Muy Fuerte?,"[""telenovela"", ""Spanish soap opera"", ""telenovelas""]",Q64003,P136,Q23745,telenovelas,Q64003 P136 Q23745,Q64003 P136,Abrázame Muy Fuerte,genre,telenovela
What religion was Bernardino Cirillo associated with?,"[""Roman Apostolic Catholic Church"", ""Roman Catholic"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q4893841,P140,Q9592,Roman Catholic,Q4893841 P140 Q9592,Q4893841 P140,Bernardino Cirillo,religion,Catholic Church
What country is Kani Gorgeh located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5813246,P17,Q794,Iran,Q5813246 P17 Q794,Q5813246 P17,Kani Gorgeh,country,Iran
What country is the human settlement of Mbizi found in?,"[""ZIM"", ""Zimbabwe"", ""Southern Rhodesia"", ""Zimbabwe Rhodesia"", ""Republic of Zimbabwe"", ""Rhodesia"", ""\ud83c\uddff\ud83c\uddfc"", ""zw""]",Q1914927,P17,Q954,Zimbabwe,Q1914927 P17 Q954,Q1914927 P17,Mbizi,country,Zimbabwe
What country is Lepingpu located in?,"[""People's Republic of China"", ""\ud83c\udde8\ud83c\uddf3"", ""CN"", ""CHN"", ""PRC"", ""cn"", ""China PR"", ""Mainland China"", ""PR China"", ""China""]",Q10878395,P17,Q148,China,Q10878395 P17 Q148,Q10878395 P17,Lepingpu,country,People's Republic of China
What country is Lollum located in?,"[""the Netherlands"", ""NED"", ""Nederland"", ""Holland"", ""Netherlands (after 1945)"", ""NL"", ""\ud83c\uddf3\ud83c\uddf1"", ""nl"", ""Netherlands""]",Q587148,P17,Q55,Netherlands,Q587148 P17 Q55,Q587148 P17,Lollum,country,Netherlands
What country recognizes Kahlil Cato as its citizen?,"[""vc"", ""St Vincent"", ""Saint Vincent"", ""\ud83c\uddfb\ud83c\udde8"", ""St Vincent and the Grenadines"", ""St. Vincent"", ""St. Vincent and the Grenadines"", ""Saint Vincent and the Grenadines""]",Q28062375,P27,Q757,Saint Vincent and the Grenadines,Q28062375 P27 Q757,Q28062375 P27,Kahlil Cato,country of citizenship,Saint Vincent and the Grenadines
What country is Kotda Bujurg located in?,"[""Bharat"", ""India"", ""Aryavratt"", ""\ud83c\uddee\ud83c\uddf3"", ""Republic of India"", ""Bharatvarsh"", ""Hindustan"", ""IN"", ""in"", ""IND""]",Q6433909,P17,Q668,India,Q6433909 P17 Q668,Q6433909 P17,Kotda Bujurg,country,India
What is the color of Some Good in All?,"[""black-and-white cinema"", ""B/W"", ""colorless cinema"", ""black-and-white"", ""black and white"", ""B&W"", ""black and white film""]",Q17558706,P462,Q838368,black and white,Q17558706 P462 Q838368,Q17558706 P462,Some Good in All,color,black and white
What country is Petite-Synthe located in?,"[""France"", ""fr"", ""R\u00e9publique fran\u00e7aise"", ""FRA"", ""Republic of France"", ""FR"", ""La France"", ""the Hexagon"", ""French Republic""]",Q2692224,P17,Q142,France,Q2692224 P17 Q142,Q2692224 P17,Petite-Synthe,country,France
"What larger work was ""Ich will dich lieben, meine Stärke"" published in?","[""Gotteslob"", ""Gotteslob (2013)""]",Q17317904,P1433,Q1445507,Gotteslob,Q17317904 P1433 Q1445507,Q17317904 P1433,"Ich will dich lieben, meine Stärke",published in,Gotteslob (2013)
Where was Senza sangue first performed in full on 15 May 2016?,"[""Festival d'Avignon""]",Q26220086,P4647,Q473423,Festival d'Avignon,Q26220086 P4647 Q473423,Q26220086 P4647,Senza sangue,location of first performance,Festival d'Avignon
Which channel in India aired Nirmala's Spice World?,"[""Zindagi""]",Q19865601,P3301,Q17089180,Zindagi,Q19865601 P3301 Q17089180,Q19865601 P3301,Nirmala's Spice World,broadcast by,Zindagi
What country is Shahrak-e Cham Kuku located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5825265,P17,Q794,Iran,Q5825265 P17 Q794,Q5825265 P17,Shahrak-e Cham Kuku,country,Iran
What is the seat of the Fyli Municipality?,"[""Ano Liosia""]",Q652551,P36,Q2088514,Ano Liosia,Q652551 P36 Q2088514,Q652551 P36,Fyli Municipality,capital,Ano Liosia
"What country is the Blythe River, located in the Canterbury Region?","[""nz"", ""Dominion of New Zealand"", ""NZ"", ""NZL"", ""Aotearoa"", ""Aotearoa New Zealand"", ""\ud83c\uddf3\ud83c\uddff"", ""New Zealand""]",Q4930885,P17,Q664,New Zealand,Q4930885 P17 Q664,Q4930885 P17,Blythe River,country,New Zealand
What country is the human settlement of Dobandi found in?,"[""\ud83c\uddf5\ud83c\uddf0"", ""PAK"", ""pk"", ""Pakistan"", ""Islamic Republic of Pakistan""]",Q5286515,P17,Q843,Pakistan,Q5286515 P17 Q843,Q5286515 P17,Dobandi,country,Pakistan
What is Thomas Stewart Kirk's relative?,"[""Thomas Kirk (sculptor)"", ""Joseph Robinson Kirk"", ""William Boyton Kirk"", ""Eliza Kirk"", ""Elizabeth Kirk"", ""Thomas Kirk""]",Q101541311,P1038,Q7791551,Thomas Kirk (sculptor),Q101541311 P1038 Q7791551,Q101541311 P1038,Thomas Stewart Kirk,relative,Thomas Kirk
What sport is Abbas Ekrami associated with?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q4663745,P641,Q2736,football,Q4663745 P641 Q2736,Q4663745 P641,Abbas Ekrami,sport,association football
What religion was Fiachra Ó Ceallaigh associated with?,"[""Roman Apostolic Catholic Church"", ""Roman Catholic"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q1410352,P140,Q9592,Roman Catholic,Q1410352 P140 Q9592,Q1410352 P140,Fiachra Ó Ceallaigh,religion,Catholic Church
Who is the father of Percy Rivington Pyne Jr.?,"[""Percy Rivington Pyne II""]",Q24579362,P22,Q7167536,Percy Rivington Pyne II,Q24579362 P22 Q7167536,Q24579362 P22,Percy Rivington Pyne Jr.,father,Percy Rivington Pyne II
"What country is Davenda, a human settlement in Mogochinsky District, Zabaykalsky Krai, part of?","[""RUS"", ""Rossija"", ""U.S.S.R"", ""Soviets"", ""CCCP"", ""SU"", ""Rossijskaja Federatsija"", ""Union of Soviet Socialist Republics"", ""the Union of Soviet Socialist Republics"", ""Rus"", ""Russia"", ""The Soviets"", ""Russian Federation"", ""Rossiyskaya Federatsiya"", ""Rossiya"", ""Soviet Union"", ""USSR"", ""ru"", ""RF"", ""U.S.S.R."", ""RU"", ""the Soviet Union""]",Q4153566,P17,Q159,Russia,Q4153566 P17 Q159,Q4153566 P17,Davenda,country,Russia
What is the specific hue that represents the color of Zhuque?,"[""Vermilion"", ""orange-red"", ""vermilion""]",Q1059392,P462,Q737438,Vermilion,Q1059392 P462 Q737438,Q1059392 P462,Zhuque,color,orange-red
What type of cuisine is jiaozi?,"["""", ""cuisine of China"", ""Chinese food"", ""Chinese cuisine""]",Q640769,P2012,Q27477249,Chinese cuisine,Q640769 P2012 Q27477249,Q640769 P2012,jiaozi,cuisine,Chinese cuisine
What is Zhong Acheng's occupation?,"[""scriptwriter"", ""writers"", ""screenwriter"", ""writer"", ""authors"", ""screenplay writer"", ""author"", ""script writer"", ""scenarist"", ""screen writer""]",Q300354,P106,Q28389,screenwriter,Q300354 P106 Q28389,Q300354 P106,Zhong Acheng,occupation,screenwriter
What country is Bouelles located in?,"[""France"", ""fr"", ""R\u00e9publique fran\u00e7aise"", ""FRA"", ""Republic of France"", ""FR"", ""La France"", ""the Hexagon"", ""French Republic""]",Q537737,P17,Q142,France,Q537737 P17 Q142,Q537737 P17,Bouelles,country,France
What type of cuisine is served at Scott Hallsworth's flagship Japanese izakaya?,"[""Japanese cuisine"", ""Japanese"", ""Japanese food"", ""cuisine of Japan""]",Q1193068,P2012,Q234138,Japanese,Q1193068 P2012 Q234138,Q1193068 P2012,izakaya,cuisine,Japanese cuisine
What specific industry is Paradigm Concepts known for in relation to their successful performance at the Origins Game Fair?,"[""RPG"", ""role playing game"", ""role-playing game"", ""roleplaying game""]",Q7134145,P452,Q160738,role playing game,Q7134145 P452 Q160738,Q7134145 P452,Paradigm Concepts,industry,role-playing game
What country is Baraspi located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5710773,P17,Q794,Iran,Q5710773 P17 Q794,Q5710773 P17,Baraspi,country,Iran
What country is NA-140 Kasur-IV in?,"[""\ud83c\uddf5\ud83c\uddf0"", ""PAK"", ""pk"", ""Pakistan"", ""Islamic Republic of Pakistan""]",Q55624357,P17,Q843,Pakistan,Q55624357 P17 Q843,Q55624357 P17,NA-140 Kasur-IV,country,Pakistan
What religion was Joseph Michael Sullivan associated with?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q1283572,P140,Q9592,Roman Catholic Church,Q1283572 P140 Q9592,Q1283572 P140,Joseph Michael Sullivan,religion,Catholic Church
"What type of cuisine is typically served by a pâtisserie in Austria, Italy, and France?","[""French cuisine"", ""French food"", ""cuisine of France"", ""French""]",Q861651,P2012,Q6661,French,Q861651 P2012 Q6661,Q861651 P2012,pâtisserie,cuisine,French cuisine
What was George Henry Speltz associated with?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q5540481,P140,Q9592,Catholic Church,Q5540481 P140 Q9592,Q5540481 P140,George Henry Speltz,religion,Catholic Church
"Who was the screenwriter for the film ""Triomf""?","[""Malcolm Kohll"", ""Michael Raeburn"", ""Marlene van Niekerk""]",Q7843138,P58,Q383953,Michael Raeburn,Q7843138 P58 Q383953,Q7843138 P58,Triomf,screenwriter,Michael Raeburn
What is the architectural style of Oak Ridge Apartments?,"[""Tudor Revival style"", ""neo-Tudor style"", ""mock Tudor"", ""Tudor Revival architecture"", ""Tudor Revival""]",Q96397056,P149,Q7851317,Tudor Revival,Q96397056 P149 Q7851317,Q96397056 P149,Oak Ridge Apartments,architectural style,Tudor Revival architecture
"Who composed the music for ""Special Morning Day to You""?","[""Akihito Tokunaga""]",Q48856269,P86,Q1012742,Akihito Tokunaga,Q48856269 P86 Q1012742,Q48856269 P86,Special Morning Day to You,composer,Akihito Tokunaga
